countryname,countrycode,group,gwgroupid,years,religiousminority,lingualculturalminority,economicdisadvantage,cumulativeindex,size,polityscore,conflictlevel,status,numericstatus,reg_aut
Pakistan,770,Ahmadis,7.70E+07,1951,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1952,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1953,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1954,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1955,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1956,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1957,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1958,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1959,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1960,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1961,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1962,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1963,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1964,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1965,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1966,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1967,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1968,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1969,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1970,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1971,0,1,1,2,0.015,,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1972,0,1,1,2,0.022,4,0,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1973,0,1,1,2,0.022,8,1,JUNIOR PARTNER,4,FALSE
Pakistan,770,Ahmadis,7.70E+07,1974,1,1,1,3,0.022,8,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1975,1,1,1,3,0.022,8,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1976,1,1,1,3,0.022,8,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1977,1,1,1,3,0.022,-7,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1978,1,1,1,3,0.022,-7,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1979,1,1,1,3,0.022,-7,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1980,1,1,1,3,0.022,-7,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1981,1,1,1,3,0.022,-7,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1982,1,1,1,3,0.022,-7,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1983,1,1,1,3,0.022,-7,1,POWERLESS,3,FALSE
Pakistan,770,Ahmadis,7.70E+07,1984,1,1,1,3,0.022,-7,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1985,1,1,1,3,0.022,-4,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1986,1,1,1,3,0.022,-4,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1987,1,1,1,3,0.022,-4,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1988,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1989,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1990,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1991,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1992,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1993,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1994,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1995,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1996,1,1,1,3,0.022,8,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1997,1,1,1,3,0.022,7,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1998,1,1,1,3,0.022,7,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,1999,1,1,1,3,0.022,-6,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2000,1,1,1,3,0.022,-6,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2001,1,1,1,3,0.022,-6,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2002,1,1,1,3,0.022,-5,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2003,1,1,1,3,0.022,-5,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2004,1,1,1,3,0.022,-5,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2005,1,1,1,3,0.022,-5,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2006,1,1,1,3,0.022,-5,1,DISCRIMINATED,2,FALSE
Pakistan,770,Ahmadis,7.70E+07,2007,1,1,1,3,0.022,2,1,DISCRIMINATED,2,FALSE
